species_ID,Group,Order,Family,Genus,Species,subspecies,scientificName,variety,common_name,native_exotic,continent_of_origin,itis_tsn
1275,Reptiles-Turtles,Testudines,Trionychidae,Apalone,spinifera,emoryi,Apalone spinifera emoryi,NULL,Texas Spiny Softshell,Native,North America,208685
1276,Reptiles-Turtles,Testudines,Trionychidae,Apalone,spinifera,spinifera,Apalone spinifera spinifera,NULL,Eastern Spiny Softshell,Native,North America,208693
1277,Reptiles-Turtles,Testudines,Trionychidae,Palea,steindachneri,NULL,Palea steindachneri,NULL,Wattle-necked Softshell,Exotic,Asia,208695
1278,Reptiles-Turtles,Testudines,Trionychidae,Pelodiscus,sinensis,NULL,Pelodiscus sinensis,NULL,Chinese softshell,Exotic,Asia,208697
2281,Reptiles-Turtles,Testudines,Pelomedusidae,Pelusios,subniger,,Pelusios subniger,,East African Black Mud Turtle,Exotic,Africa,949515
2564,Reptiles-Turtles,Testudines,Kinosternidae,Kinosternon,flavescens,NULL,Kinosternon flavescens,NULL,Yellow Mud Turtle,Native,North America,173766
2625,Reptiles-Turtles,Testudines,Trionychidae,Apalone,spinifera,pallida,Apalone spinifera pallida,NULL,Pallid Spiny Softshell,Native,North America,208692
2626,Reptiles-Turtles,Testudines,Emydidae,Graptemys,spp.,NULL,Graptemys spp.,NULL,Map turtle,Native,North America,173790
2853,Reptiles-Turtles,Testudines,Kinosternidae,Staurotypus,salvinii,NULL,Staurotypus salvinii,NULL,Pacific Coast giant musk turtle,Exotic,Central America,551863
2868,Reptiles-Turtles,Testudines,Kinosternidae,Sternotherus,carinatus,NULL,Sternotherus carinatus,NULL,Razor-backed Musk Turtle,Native,North America,173759
2877,Reptiles-Turtles,Testudines,Bataguridae,Rhinoclemmys,punctularia,NULL,Rhinoclemmys punctularia,NULL,Spot-legged Turtle,Exotic,South America,551861
2901,Reptiles-Turtles,Testudines,Bataguridae,Ocadia,sinensis,NULL,Ocadia sinensis,NULL,Chinese stripe-necked turtle,Exotic,Asia,551937
2927,Reptiles-Turtles,Testudines,Emydidae,Graptemys,ernsti,NULL,Graptemys ernsti,NULL,Escambia Map Turtle,Native,North America,551768
2923,Rotifers,Ploima,Brachionidae,Brachionus,forficula,NULL,Brachionus forficula,NULL,a brachionid rotifer,Exotic,Unknown,NULL
3201,Rotifers,Ploima,Brachionidae,Brachionus,leydigii,,Brachionus leydigii,,a rotifer,Exotic,Unknown,58475
