title,gnis_name,state
Willever Lake Dam,Pohatcong Creek,NJ
Mitchell Dam,Bear River,MI
Churchill Woods,East Branch Du Page River,IL
Vaux #2 Dam,Lone Tree Creek,MT
Waubeka Dam,Milwaukee River,WI
Lake Bettinger Complex Dam,,AK
Rockford Dam,Shell Rock River,IA
Wolf Mill Dam,Logan Spring Run,PA
Upper Grove City Dam,Wolf Creek,PA
Liberty Mills Dam,,IN
Baldwin Creek Dam 3,Baldwin Creek,OH
Grayling Dam,Au Sable River,MI
Buck Street Dam,Suncook River,NH
Rush Brook Dam,Rush Brook,PA
Chair Factory Dam,Milwaukee River,WI
Lowell Dam,Little River,NC
Red Mill Dam,Batten Kill,VT
Mt. Penn #3 Dam,,PA
McGaheysville Dam,South Fork Shenandoah River,VA
Pomeroy Memorial Dam,West Branch Sugar Creek,PA
Munroe Falls Dam,Cuyahoga River,OH
Bangor Dam,Penobscot River,ME
Eagle Lake Dam,Summit Brook,NY
Maiden Dam,Touchet River,WA
Bendigo State Park Dam,East Branch Clarion River,PA
Araujo Dam,Shasta River,CA
Unnamed Blockage #3 (Diffusion Dam 4),,WA
Plymouth Crossing Dam,Wissahickon Creek,PA
Dead Lakes Dam,,FL
Welfare Dam,Paddy Run,PA
Frankford Dam,Pennypack Creek,PA
Freedom Park Dam,,NC
Byrnes Mill Dam (Dam No. 1),White Clay Creek,DE
Unnamed Dam,Clarion River,PA
Poplar Dam,Poplar River,WI
Twining Valley Golf Course Dam,Pine Run,PA
Glines Canyon Dam,Elwha River,WA
Puddin Head Dam,,FL
Port Arthur Dam,Flambeau River,WI
Lake Success Dam,,NJ
Dutiel Pond Dam,,OH
Stronach Dam,Pine River,MI
Picric Dam,Driftwood Branch Sinnemahoning Creek,PA
Sandy River Delta Dam,,OR
Stone Gate Park #1 Dam,Waubonsie Creek,IL
Reading Museum Dam #1,Wyomissing Creek,PA
Wild Lands Conservancy Dam,Little Lehigh Creek,PA
Coal Creek Dam #4,Coal Creek,PA
Silver Springs Dam #1,Mill Creek,WI
Lower Eddy Pond Dam,Mussey Brook,VT
No Name Dam #45,,SD
Wind River Dam,Wind River,WA
Creek Bend Dam #1,,IL
Maple Hollow Reservoir Dam (Ducansville Reservoir),Gillans Run,PA
Felix Dam,Schuylkill River,PA
Wetmore Run Dam,Wetmore Run,PA
Quasqueton Dam,Wapsipinicon River,IA
Pinney Hollow Brook Dam,Pinney Hollow Brook,VT
Reedsville Milling Company Dam,Tea Creek,PA
Wacousta Dam,Looking Glass River,MI
Hostler Creek Dam,Hostler Creek,CA
Brown's Mill Dam,East Fork Stones River,TN
Union Village Dam,Branch River,NH
Occidental Chem Pond Dam D,,TN
Unnamed Dam,Doe Run,PA
M Seeman Dam,,NY
Wolf Lake Dam,Conococheague Creek,PA
Eel River Headwaters Restoration 7,,MA
Butternut Pond Dam,Butternut Brook,NH
Glenwood Dam,Mill Creek,PA
Crantock Mill Dam,Middle Creek,NC
Derry Run Basin C Dam,,PA
Hoffman Duffy Dam,John Hoffman Reservoir,ID
Winchester Dam,Ashuelot River,NH
Winnicut River Dam,,NH
Curtis Pond Dam,,MA
Marvel Slab Dam,Cahaba River,AL
Somerset Dam,Apple River,WI
Binky Lee Preserve Dam,,PA
Schweitzer Dam,Cedar Creek,WI
Brantley Dam,Dan River,VA
Black Earth Dam,Black Earth Creek,WI
Kuba Dam,,
Dutch Flat Dam,West Fork Little Bear Creek,ID
Bear Creek Dam #3,Bear Creek,CA
Cedar Ck Dam #1,Cedar Creek,PA
Watts Lake Dam,,
Off Billington Street Dam,Town Brook,MA
Duck Pond Dam,Muddy Creek,PA
Carding Mill Dam,,MA
Potagannissing Dam,,MI
Pear Lake Dam,,CO
Upper Cook's Canyon Dam,Galloway Brook,MA
New Way Dam,,MA
Gin House Lake Dam,Adkinson Creek,TN
Canaan Lake Outlet Dam,Old Stream,ME
Bluebird Dam,,CO
Sodom Dam,Sodom Ditch,OR
Unnamed (Glade Run) Dam,,PA
Intake Dam,Little Shickshinny Creek,PA
Jackson Street Dam,Bear Creek,OR
Watervliet Spillway Dam,,MI
Hoeft Dam,Birch Creek,OR
Dewey No. 1,,CO
Hammer Creek Dam,Hammer Creek,PA
Spring Creek Inc. Dam,Fourmile Creek,PA
Kentchurch Dam,,
Patex Pond Dam,,NJ
Service Water Dam,Mahoning Creek,PA
Bartlett Pond Dam,,MA
Memory Estates Dam #2,,AK
Lewis Mill Dam,East Branch Brandywine Creek,PA
International Paper Co. Dam No. 2,,MA
Nelsonville Dam,Tomorrow River,WI
Grand River Dam,,WI
White Clay Creek 1,White Clay Creek,PA
Ward Dam,Smithtown Creek,PA
Kehly Run Dam No. 2,Kehly Run,PA
Unnamed Dam #2 (Lithia Park Dam 2),Ashland Creek,OR
Sheraton Mill Dam,Cuyahoga River,OH
Eaton-Dikeman Dam,Mountain Creek,PA
Savan Dam,Little Mahoning Creek,PA
Gray Reservoir Dam,Black Creek,NY
Meyer Dam,Mullet River,WI
Cijiawan #1 Dam,,
Monsanto Dam #5A,,TN
South Sand Lake Dam,,TX
Childsdale Dam,Rogue River,MI
No Name Dam at State Road 11-58,Long Branch of Island Creek,SC
Billington Street Dam,Town Brook,MA
YWCA Dam,Brewster Creek,IL
Lake Crawford Dam,Bozle Creek,NE
Powerdale Dam,Hood River,OR
Pole Branch Dam,Pole Branch,SC
Toronto Band Father's Lake Dam,Town Fork,OH
Sultan Mill Pond Dam,,WA
Dam #1,Des Plaines River,IL
Finesville Dam,Musconetcong River,NJ
Fort Edward Dam,Hudson River,NY
Charming Forge Dam,Tulpehocken Creek,PA
Englewood Recreation Dam,Stillwater River,OH
Sandbeach Lake Dam,,CO
Creek Bend Dam #2,,IL
Zemko Dam,East Branch Eightmile River,CT
Paragon Dam,,RI
Robert Thomason Pond Dam,Stoddard Creek,SC
Unnamed Dam,Royal River,ME
Upper IPC Dam,Newfound River,NH
Cherry Hospital Dam,Little River,NC
Atlas Dam,Hokendauqua Creek,PA
Peabody #1A Dam,,IL
James Ford's Dam,Pequea Creek,PA
Kaoshan Stream Dam 4,,
Island Woolen Co. Dam,Baraboo River,WI
Mill Dam,East Branch Sebasticook River,ME
Bullfrog Valley Sediment Pond #2 Dam,,PA
HJFD10,,CA
Karpel Dam,,NY
Shiffer's Mill Dam,Wiconisco Creek,PA
Franklin Dam,Cedar Creek,WI
Cove Dam,Bear River,ID
American Legion Pool Dam,Canasawacta Creek,NY
Red Shale Dam,Red Shale Brook,PA
Elm Street Dam,Battle Creek,MI
Minnie Reeves Dam,Indian Creek,CA
Cities Service Company Dam,,TN
Unnefors Dam,,
Upper Nemahbin Roller Mill Dam,Bark River,WI
Woodside Dam 1,Twelvemile Creek,SC
Upper Poplar Run Reservoir Dam,Poplar Creek,PA
Dimondale Dam (Wilson Dam),Grand River,MI
Waterworks Dam,Baraboo River,WI
St. John's Dam,Sandusky River,OH
Lloydell Reservoir Dam,South Fork Little Conemaugh River,PA
Camp Meeker Dam,Dutch Bill Creek,CA
Unnamed Dam (Camp Miakonda Dam),Ottawa River,OH
Mill Dam,Sedgeunkedunk Stream,ME
Silver Spring Dam,Trindle Spring Run,PA
Aquatic Center Pond Dam,Lane Drain,MI
Beaver Lake Dam,,NH
Baldwin Creek Dam 2,Baldwin Creek,OH
Reedsburg Dam,Baraboo River,WI
Oak Street Dam,Baraboo River,WI
Lower Pamperin Park Dam,Duck Creek,WI
Otter Tail Power Dam (AKA Crookston Dam #2),Red Lake River,MN
Rhone Poulenc Dam #20,,TN
Mystic Lake Dam,,MT
Gokreung Dam,,
Berwinsdale Dam,North Witmer Run,PA
Bruton Dam,Taneum Creek,WA
Sunol Dam,Alameda Creek,CA
East Pittsford Dam,,
Rutan Dam,Anguilla Brook,CT
Rose Hill Intake Dam,Kettle Creek,PA
HJFD7,,CA
Shultz Grist Mill Dam,Big Beaver Creek,PA
Fletchers Mill Dam,Thornton River,VA
Hammer Diversion Dam,South Fork Cottonwood Creek,CA
Silver Creek Dam,Silver Creek,OH
Sturgeon River Dam,Sturgeon River,MI
Vincent Dam,Schuylkill River,PA
Deep Hollow Creek Dam,,PA
Forney Ridge Dam,Forney Creek,NC
McCormick-Saeltzer Dam,,CA
Pittinger Dam,,OH
Freeport Dam,Coldwater River,MI
New Fane Dam,East Branch Milwaukee River,WI
Kehly Run Dam No. 6,Kehly Run,PA
Pulcifer Dam,Oconto River,WI
Goldsborough Dam,Goldsborough Creek,WA
Lindernam Dam,Teton River,
Bartlett Rod Shop Co. Dam,,MA
Rounick Pond Dam,,PA
Unnamed Dam #1 (Lithia Park Dam 1),Ashland Creek,OR
Sawmill Pond Dam,,MA
Lost Man,Lost Man Creek,CA
Valley Creek 1,Valley Creek,PA
Raymond Brook Pond Dam,Raymond Brook,CT
"Boulder Creek ""lower dam""",Boulder Creek,WI
Lemonweir Dam,Lemonweir River,WI
Rockland Dam,North River,VA
Wrubel Swimming Pool Dam,Cresskill Brook,NJ
Low Dam Removal,,OR
Commodore Dam,,PA
Brush Dam,,UT
Lorimer Park Dam,Pennypack Creek,PA
Three Bears Lake-West Dam,,MT
Wanamie Dam,,PA
Newport No. 11 Dam,Clyde River,VT
Lochner Dam,Smithtown Creek,PA
Plymouth Dam,Schuylkill River,PA
Appleton Mill Dam,Pomme de Terre River,MN
Kaoshan Stream Dam 1,,
Haley Dam,,MI
Simkins Dam,Patapsco River,MD
White Hall Dam,Little Falls,MD
Manitowoc Rapids Dam,Manitowoc River,WI
Lake Florence Dam (Stewartville Dam),,MN
West Winterport Dam,Marsh Stream,ME
Fisher Dam,Pequea Creek,PA
Sterling Lake Dam,Duffield Run,NJ
Lower Currier Creek Fish Passage and Habitat Restoration,Reecer Creek,WA
Clifford Branch Dam,,MD
Randall Dam,Coldwater River,MI
"Boulder Creek ""upper dam""",Boulder Creek,WI
Dillsboro Dam,Tuckasegee River,NC
Antelope Creek Dam (Schramm Dam),Antelope Creek,ND
Unnamed Remnant Dam,Sunday River,ME
Hilsboro Lake Park Dam,,TX
Fife Creek Check Dam,Fife Creek,CA
Sooy Lake Dam,South Branch Burrs Mill Brook,NJ
Broome Corporate Park Pond Dam #1,,NY
Champlin Pond Dam #1,Clark Brook,NH
Fossil Creek Dam,Fossil Creek,AZ
Colt Dam,Knife River,
Seber Dam,Musconetcong River,NJ
Smith Dam,,PA
Milan Wildlife Area Dam,Huron River,OH
Woods Creek Dam,Woods Creek,WI
Idylwilde Dam,,CO
Amish Dam #2,Muddy Creek,PA
Greenwood Dam,Black River,WI
Behrend Capped Waterfall Dam,Fourmile Creek,PA
L'Anse Dam,Falls River,MI
Lower Shannock Falls Dam,Pawcatuck River,RI
Kenosha Country Club Dam,Pike River,WI
Conewango Dam,Conewango Creek,PA
Manners Run Dam,,PA
Lion Creek Diversion Dam,,CA
Box Elder Creek Dam,,UT
Jones Lake Dam,Ogg Creek,OH
Garthridge Dam,Muddy Creek,PA
Bearfoot Lake Dam,,TX
Furnace Creek Dam,Furnace Creek,PA
SH Dam,Tongue River,MT
Father John's Lane Dam,,NJ
Alkire Lake Dam,,MO
Fibron Trout Pond Dam,Anguilm Creek,MI
Moline Middle City Lake Dam,Wildcat Creek,KS
Wonewoc Dam,Baraboo River,WI
Barnitz Mill Dam,Yellow Breeches Creek,PA
Saucon Park Dam,Saucon Creek,PA
Darrington Water Works Dam,,WA
Cross Plains Dam,Black Earth Creek,WI
Eagle & Phenix Dam,Chattahoochee River,GA
Young's Dam,,PA
Dam #1,,WI
Masonic Home Dam,Conoy Creek,PA
Wing Park Dam,Tyler Creek,IL
Amish Dam #1,Muddy Creek,PA
Farmingdale Dam,,SD
McCabe Golf Course Dam,Richland Creek,TN
Great Works Dam,Penobscot River,ME
Jonesville Millpond Dam,Saint Joseph River,MI
Cox Brook Dam,Cox Brook,VT
Yorktowne Paper Dam,Mill Creek,PA
Knox Hill Dam,,NJ
Harpeth River Dam,Harpeth River,TN
McArthur Road Dam,Jordan Creek,PA
Mill Creek Settling Basin Dam,Mill Creek,WA
Forge Pond Dam,,MA
Shissler Dam,Bennett Run,PA
Carbonton Dam,Deep River,NC
Lower Sedgeunkedunk Dam,Sedgeunkedunk Stream,ME
Calvert Hurdle Park Dam,Stony Creek,PA
Eel River Headwaters Restoration 5,,MA
Franconia Paper Co. Dam,Wells River,VT
Good Hope Mill Dam,Conodoguinet Creek,PA
Yankee Lake Dam,Yankee Run,OH
Bodine Pond Dam,,NJ
Robbins Dike Dam,,MA
Groton Dam (Sanville Dam),Wells River,VT
Wittlinger Dam,Yellow Breeches Creek,PA
Ashworth Lake Dam,,OH
Rex Tannery Dam,,NH
Smelt Hill Dam,Presumpscot River,ME
Colfax Dam,Eighteenmile Creek,WI
Crowningshield Dam,,NY
Okehocking Preserve Dam,Ridley Creek,PA
Cascade Dam,North Branch Clinton River,MI
Han Maum Dam,,PA
Salling Dam,Au Sable River,MI
Big Spring Run 1,,PA
Unnamed Dam,Kishacoquillas Creek,PA
Southern Sweden 01,,
Clark's Mill Dam,Hatton Creek,WI
Upper Hathaway Brook Dam,Hathaway Brook,MA
Colfax Light Power Dam,Red Cedar River,WI
Robin Hood Bridge Dam,Little Lehigh Creek,PA
Washburn Mill Pond Dam,Salmon Brook,ME
Upper Waterloo Dam,Maunesha River,WI
Mossy Creek Dam,Mossy Creek,VA
Zell Dam,Walla Walla River,OR
McDowell Grove Dam,West Branch Du Page River,IL
Merrimack Village Dam,Souhegan River,NH
Smitherman's Dam,Little River,NC
Hall Brook Dam,,MA
Pursel's Mill Dam,Lopatcong Creek,NJ
Mast Point Dam,Salmon Falls River,ME
Unnamed (PennDOT) Dam,Fishing Creek,PA
Kehly Run Dam No. 3,Kehly Run,PA
Unnamed Dam #1 (Lamborn No 1),,CO
Kaoshan Stream Dam 2,,
Rock Creek Dam,,OR
Ben's Creek Intake Dam,,PA
Oslo Dam,Manitowoc River,WI
Diverting Dam,Coal Creek,PA
Monsanto Dam #9,,TN
Black Mud Waste Pond C Dam,,WA
Chancellorsville Brygadier A Dam,Hunting Run,VA
Bigby Dam,Bigby Creek,PA
Boyce Pond Dam/Horseshoe Pond Dam,,NH
Rosegarden Dam,Yellow Breeches Creek,PA
Fossil Creek Diversion Dam,Fossil Creek,AZ
TCFD7,,CA
Deerskin Dam,Deerskin River,WI
Lime Kiln Dam,Milwaukee River,WI
Silk Mill Dam,Yokum Brook,MA
Mellen Waterworks Dam,City Creek,WI
Swett Brook Dam,Swell Brook,ME
Horse Creek Dam,,CA
Cleversburg Water Supply Dam,Burd Run,PA
Dalewood Dam,,
Unnamed Dam,,NC
Wolf Park Dam,Alum Creek,OH
Packerton Dam,Beaver Run,PA
Brown Pond Dam,,FL
Dorney Park Dam,Cedar Creek,PA
Tannery Creek Dam,,MI
Lewiston Dam,Clearwater River,ID
Farmers Ditch Irrigation Dam,Little Applegate River,OR
Lower Poplar Run Reservoir Dam,Poplar Creek,PA
Unnamed Irrigation Pushup Dam (Krouse-Haggar Push-up Dam),Applegate River,OR
Manchester Mill Dam,Grand River,WI
Coal Creek Dam #3,Coal Creek,PA
Milltown Dam,Clark Fork,MT
Beardsley Lake Dam,,WI
Stearns Dam,Crooked River,OR
TCFD11,,CA
Pearl Lake Brook Dam,Pearl Lake Brook,NH
Groton-9 Dam,Wells River,
Consol/Burning Star 5/20 Dam,,IL
West Henniker Dam,Contoocook River,NH
Orienta Falls Dam,Iron River,WI
Harpham Dam,,OH
Hinkletown Mill Dam,Conestoga River,PA
Switzer Two Dam,,AK
State Route 800 Dam,,OH
Lake Placid Village Dam,Chubb River,NY
LaSalle Dam,Great Chazy River,NY
Glenbrook Gulch Dam/ Anadromous Fish Habitat Restoration,,CA
Lowe Creek 2 Dam,Lowe Creek,WI
Barlin Dam,,
Hillburn Reservoir Dam,,NY
Ryerson Dam,Des Plaines River,IL
Newbold Diversion Dam,Gros Ventre River,WY
Mastrine Pond Dam,,OH
Campbellsport Millpond Dam,Milwaukee River,WI
Denlinger's Mill Dam,,PA
Dunlop Creek Dam,Dunlap Creek,WI
Colonial Industrial Quarter Dam,Monocacy Creek,PA
Klondike Dam,Big Sioux River,IA
Union Brook Dam,Union Brook,VT
Chiloquin Dam,Sprague River,OR
D.B. Fields/Johnson Dam,Rice Creek,CA
Rexmont Dam #2,,PA
Fullenkamp Property,,NJ
Quaker Neck Dam,,NC
Lower Hathaway Brook Dam,Hathaway Brook,MA
Jansen Road Dam,,NY
Indian Lake Dam,Indian River,CT
Dauberville Lake Dam,,PA
Upper Blue Mountain Dam,,NJ
Evans Pond Dam,Rathbone Creek,WI
Reading Museum Dam #2,Wyomissing Creek,PA
Piffer Dam,,PA
Heilman Dam,Mahoning Creek,PA
American Paper Products Dam,Conestoga River,PA
Luxton Lake Dam,Tenmile River,NY
Four Hill Flowage Dam,,WI
Stone Gate Park #2 Dam,,IL
Brown Bridge Dam,Boardman River,MI
Woolen Mills Dam,Rivanna River,VA
Old Berkshire Mill Dam,,MA
Lakewood Retreat Dam,,PA
Geises Dam,,PA
Unnamed Dam,Uchee Creek,AL
Fort Covington Dam,Salmon River,NY
Dream Lake Dam,Hot Springs Creek,CA
Helfrich Springs Dam,Jordan Creek,PA
Foster Dam,Little Miami River,OH
HJFD8,,CA
Mumford Dam,Russian River,CA
Bradys Lake Dam,Lehigh River,PA
Duck Marsh Pond No. 26 Dam,,PA
Galeton Dam #1,Wetmore Run,PA
E-13 RESERVOIR,,HI
Chico Creek Instream Habitat Restoration,Chico Creek,WA
Packsaddle Dam,North Fork Packsaddle Creek,ID
Lower Saucon Sportsmens Association Dam,Saucon Creek,PA
Monsanto Dam #4,,TN
Mussers Dam,Middle Creek,PA
Lake Poco Dam,,PA
Wellingsly Dam #1,,MA
Troy Dam No. 1,Densons Creek,NC
Blackberry Creek Dam,Blackberry Creek,IL
Ohio Power Company Pond Dam,,OH
Big Spring Dam,,WI
Lassiter Mill Dam,Uwharrie River,NC
Unnamed (Witman) Dam,Furnace Creek,PA
Goldsboro Dam,Fishing Creek,PA
Hemlock Dam,North Branch Oconto River,WI
Carr Lake Dam,,OH
Rakes Pond Dam,Pond Creek,PA
Rolling Rock Dams (9 small dams),Rolling Rock Creek,PA
Atlas Mineral Dam,,UT
Marie Dorian Dam,Walla Walla River,OR
Wisconsin Lutheran Seminary Dam,,WI
West Leechburg Dam,,PA
Madison Electric Dam,Sandy River,ME
Amish Dam #6,Muddy Creek,PA
Fair Haven Lake Dam,,OH
Prairie Creek Dam,Prairie Creek,MI
Stevensville Brook Dam,Stevensville Brook,VT
Dam #2,Des Plaines River,IL
Cross Dam,Brookhouser Creek,PA
Edwards Dam,Kennebec River,ME
Genesee Roller Mill Dam #1,Genesee Creek,WI
Meadow Run Dam,Meadow Run,PA
TCFD9,,CA
Miller Trust Pond Dam,,SC
Unnamed Blockage #1 (Diffusion Dam 2),,WA
H and H Feedlot Dam,Cottonwood Creek,TX
Palmerton Dam,Lehigh River,PA
Highrock Dam,Muddy Creek,PA
Lower Little Pond Dam,,NY
Wasman Dam,Brush Creek,MI
HJFD9,,CA
Durham Dam,Cooks Creek,PA
Briggsville Dam,,MA
Platts Mill Dam,Naugatuck River,CT
Castleview Lower Dam,,PA
Kirkley Pond Dam,Little Sandy Creek,SC
Smyrna Dam (Tebbles Dam),Flat River,MI
Amish Dam #3,Muddy Creek,PA
Central Sweden 01,,
Alphonso Dam,Evans Creek,OR
Green Lane Dam,Yellow Breeches Creek,PA
Planing Mill Dam,Waupaca River,WI
Newburg Dam,Milwaukee River,WI
Mill Pond Dam,Third Herring Brook,MA
Snavley's Mill Dam,Fishing Creek,PA
Dam #2,,WI
Willow Falls Dam,Willow River,WI
Millmont Dam,,PA
Hackenberg Dam,Strodes Run,PA
